Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Druceius_nr_gigantea_799,EcEs-Lep-00178,7.07,15.03,0.47,17.46,123.64,2.46,92,73,,,,
Erebidae: Arctiinae,Druceius_nr_gigantea_799,EcEs-Lep-00356,6.99,14.14,0.49,16.65,111.16,2.49,105,72,,,,
Erebidae: Arctiinae,Dycladia_sp_794,EcEs-Lep-00822,NA,10.55,NA,13.32,62.74,2.83,86,82,,,,
Erebidae: Arctiinae,Dysschema_cf_leda_1361,EcEs-Lep-01187,5.45,27.24,0.2,34.84,662.76,1.83,72,102,PL: average from all Dysschemias,,,
Erebidae: Arctiinae,Dysschema_cf_leda_1361,EcEs-Lep-04868,5.45,20.97,0.26,30.43,511.73,1.81,68,83,PL: average from all Dysschemias,,,
Erebidae: Arctiinae,Dysschema_cf_leda_1361,EcEs-Lep-09263,5.45,26.63,0.2,35.63,687.65,1.85,80,104,PL: average from all Dysschemias,,,
Erebidae: Arctiinae,Dysschema_cf_perplexa_899,EcEs-Lep-00049,5.72,19.77,0.29,27.74,448.97,1.71,59,115,,,,
Erebidae: Arctiinae,Dysschema_nr_bruckleyi_898,EcEs-Lep-00441,4.91,17.28,0.28,23.81,341.07,1.66,106,90,,,,
Erebidae: Arctiinae,Dysschema_viuda_900,EcEs-Lep-00003,5.72,25.62,0.22,37.55,818.02,1.72,48,58,,,,
Erebidae: Arctiinae,Ecdemus_obscuratum_1111,EcEs-Lep-00034,5.77,9.18,0.63,12.85,64.12,2.58,72,46,,,,
Erebidae: Arctiinae,Ecdemus_obscuratum_1111,EcEs-Lep-00147,5.73,9.99,0.57,11.46,55.71,2.36,54,51,,,,
