Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0054,Fabaceae,Swartzia,Swartzia_haughtii,Tree,1000,0,7.9,Papilionate,Yellow,NA,Zygomorphic,Melittophil,Pollen,1
M0055,Apocynaceae,Prestonia,Prestonia_aff._Ipomaeifolia,Climber,100,20.2,5.8,Tubulate,Yellow,NA,Actinomorphic,Psychophil,Nectar,4
M0057,Staphyleaceae,Turpinia,Turpinia_occidentalis,Tree,10000,3.1,2.1,Urceolate,White,NA,Actinomorphic,SDI*,Nectar,12
M0058,Burseraceae,Protium,cf._Protium_sp._1,Tree,1000,6,3.6,Funnelform,White,Yellow,Actinomorphic,SDI,NA,1
M0059,Melastomataceae,Miconia,Miconia_cf._Oraria,Tree,10000,0,6.1,Crateriform,Pink,White,Actinomorphic,Melittophil,Pollen,20
M0060,Gesneriaceae,Gasteranthus,Gasteranthus_cf._timidus,SubshrubOrShrub,10,0,8.6,Cyanthiform,White,Green,Zygomorphic,Melittophil,Nectar,18
M0061,Schlegeliaceae,Exarata,Exarata_chocoensis,Tree,1000,38.3,13.3,Funnelform,Pink,White,Zygomorphic,Melittophil,Nectar,3
M0062,Apocynaceae,Tabernaemontana,cf._Tabernaemontana_sp.,ShrubOrTree,1000,27.1,2.7,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0063,Melastomataceae,Blakea,Blakea_sp._1,NA,100,0,15.8,Rotate,Pink,White,Zygomorphic,"Melittophil, Therophil",Nectar,1
M0064,Piperaceae,Piper,Piper_sp._1,SubshrubOrShrub,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,80
M0065,Asteraceae,Schistocarpha,Schistocarpha_eupatorioides,SubshrubOrShrub,100,5.5,1,Capitulate,Yellow,NA,Actinomorphic,Melittophil,Nectar,10
M0066,Fabaceae,Phaseolus,cf._Phaseolus_sp.,HerbGeneral,10,4.3,2.8,Papilionate,Pink,Purple,Zygomorphic,Melittophil,Nectar,3
M0067,Costaceae,Costus,Costus_pulverulentus,Geophyte,1,33.5,6,Tubulate,Red,White,Zygomorphic,Ornithophil,Nectar,18
M0068,Melastomataceae,Miconia,Miconia_nervosa,SubshrubOrShrub,100,3.8,2,Urceolate,White,Orange,Zygomorphic,Melittophil,Pollen,49
M0069,Maranthaceae,Calathea,Calathea_lutea,Perennial,10,35.3,4.4,Tubulate,Yellow,NA,Asymmetric,Melittophil,Nectar,4
M0070,Piperaceae,NA,NA,SubshrubOrShrub,100,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,1
M0071,Fabaceae,Inga,Inga_sp._2,Tree,1000,24.8,3.3,Tubulate,White,Green,Actinomorphic,Sphingophil,Nectar,1
M0072,Rubiaceae,NA,NA,NA,100,0,1.7,Crateriform,Yellow,White,Actinomorphic,NA,NA,1
M0073,Schlegeliaceae,Schlegelia,Schlegelia_fastigiata,Epiphyte,100,17.4,5.1,Tubulate,White,Pink,Zygomorphic,Ornithophil,Nectar,1
M0074,Ericaceae,Cavendishia,Cavendishia_sp._1,EpiphyticShrub,100,30.2,4,Tubulate,White,Pink,Actinomorphic,Ornithophil,Nectar,20
M0075,Rubiaceae,Hillia,Hillia_palmana,Epiphyte,10,22.5,2.2,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0076,Gesneriaceae,Nomopyle,Nomopyle/_Monopyle_dodsonii,Geophyte,1,13.8,14,Funnelform,White,Purple,Zygomorphic,Melittophil,Nectar,28
